Census Region,Year,Single Race 6,Education,Five-Year Age Groups,Deaths,% of Total Deaths
,,,,,,
census region 1: northeast,2018,black or african american,unknown,35-39 years,18,0.20%
census region 1: northeast,2018,black or african american,unknown,40-44 years,18,0.20%
census region 1: northeast,2018,white,unknown,25-29 years,15,0.20%
census region 1: northeast,2018,white,unknown,30-34 years,20,0.30%
census region 1: northeast,2018,white,unknown,35-39 years,22,0.30%
census region 1: northeast,2018,white,unknown,40-44 years,14,0.20%
census region 1: northeast,2019,black or african american,unknown,25-29 years,11,0.10%
census region 1: northeast,2019,black or african american,unknown,30-34 years,19,0.30%
census region 1: northeast,2019,black or african american,unknown,35-39 years,20,0.30%
census region 1: northeast,2019,black or african american,unknown,40-44 years,10,0.10%
census region 1: northeast,2019,white,unknown,20-24 years,15,0.20%
census region 1: northeast,2019,white,unknown,25-29 years,21,0.30%
census region 1: northeast,2019,white,unknown,30-34 years,24,0.30%
census region 1: northeast,2019,white,unknown,35-39 years,20,0.30%
census region 1: northeast,2019,white,unknown,40-44 years,15,0.20%
census region 1: northeast,2020,black or african american,unknown,25-29 years,12,0.20%
census region 1: northeast,2020,black or african american,unknown,30-34 years,14,0.20%
census region 1: northeast,2020,black or african american,unknown,35-39 years,12,0.20%
census region 1: northeast,2020,black or african american,unknown,40-44 years,10,0.10%
census region 1: northeast,2020,white,unknown,25-29 years,17,0.20%
census region 1: northeast,2020,white,unknown,30-34 years,31,0.40%
census region 1: northeast,2020,white,unknown,35-39 years,32,0.40%
census region 1: northeast,2020,white,unknown,40-44 years,12,0.20%
census region 1: northeast,2021,black or african american,high school graduate or ged completed,30-34 years,13,0.20%
census region 1: northeast,2021,white,high school graduate or ged completed,20-24 years,12,0.20%
census region 1: northeast,2021,white,high school graduate or ged completed,25-29 years,12,0.20%
census region 1: northeast,2021,white,high school graduate or ged completed,35-39 years,18,0.20%
census region 1: northeast,2022,white,high school graduate or ged completed,20-24 years,12,0.20%
census region 1: northeast,2022,white,high school graduate or ged completed,30-34 years,16,0.20%
census region 1: northeast,2022,white,high school graduate or ged completed,35-39 years,12,0.20%
census region 1: northeast,2023,white,high school graduate or ged completed,30-34 years,12,0.20%
census region 2: midwest,2018,white,unknown,20-24 years,20,0.30%
census region 2: midwest,2018,white,unknown,25-29 years,24,0.30%
